guid,Location,Macrolocation,Sublocation,LocationType,Macrotype,Placeholder,Map,LocatorMap,MacroPlaceholder,tags
qv941ueR`/,Moray,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Moray.svg"" />","<img src=""locator-Moray.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
bz{F~5_OK-,Outer Hebrides,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Outer Hebrides.svg"" />","<img src=""locator-Outer Hebrides.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
u);7fbqY#P,North Ayrshire,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-North Ayrshire.svg"" />","<img src=""locator-North Ayrshire.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
`X^9bL!>C,North Lanarkshire,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-North Lanarkshire.svg"" />","<img src=""locator-North Lanarkshire.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
ve=`?BX=Ef,Orkney Islands,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Orkney Islands.svg"" />","<img src=""locator-Orkney Islands.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
d/emV$Qa73,Perth and Kinross,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Perth and Kinross.svg"" />","<img src=""locator-Perth and Kinross.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
qThXK&|Ab;,Renfrewshire,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Renfrewshire.svg"" />","<img src=""locator-Renfrewshire.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
hC&2VDeofe,Scottish Borders,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Scottish Borders.svg"" />","<img src=""locator-Scottish Borders.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
fn#3v]!S=J,Shetland Islands,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Shetland Islands.svg"" />","<img src=""locator-Shetland Islands.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
"q:]p8ca,UN",South Ayrshire,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-South Ayrshire.svg"" />","<img src=""locator-South Ayrshire.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
"vT&,#3Kl:r",South Lanarkshire,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-South Lanarkshire.svg"" />","<img src=""locator-South Lanarkshire.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
c{W1_BsUtG,Stirling,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Stirling.svg"" />","<img src=""locator-Stirling.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
l!V^6`_!dJ,West Dunbartonshire,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-West Dunbartonshire.svg"" />","<img src=""locator-West Dunbartonshire.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
b-eU3OcO2y,West Lothian,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-West Lothian.svg"" />","<img src=""locator-West Lothian.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
$%Ynhh0R6,Atlantic Ocean,,,Body of Water,,,"<img src=""bow-Atlantic Ocean.svg"" />",,,BoW
ne@4b:T0#+,The Wash,,,Body of Water,,,"<img src=""bow-The Wash.svg"" />",,,BoW
evQpAL*fBY,Bristol Channel,,,Body of Water,,,"<img src=""bow-Bristol Channel.svg"" />",,,BoW
iw&WaTB?u.,Strait of Dover,,,Body of Water,,,"<img src=""bow-Strait of Dover.svg"" />",,,BoW
oe.!noXvHn,Firth of Forth,,,Body of Water,,,"<img src=""bow-Firth of Forth.svg"" />",,,BoW
c:j7j>36$M,Thames Estuary,,,Body of Water,,,"<img src=""bow-Thames Estuary.svg"" />",,,BoW
jv!UtoAs>i,North Sea,,,Body of Water,,,"<img src=""bow-North Sea.svg"" />",,,BoW
o~;M:5mJeQ,The Humber,,,Body of Water,,,"<img src=""bow-The Humber.svg"" />",,,BoW
jn/si2Y7e,Solway Firth,,,Body of Water,,,"<img src=""bow-Solway Firth.svg"" />",,,BoW
"f~MG7SF,W[",English Channel,,,Body of Water,,,"<img src=""bow-English Channel.svg"" />",,,BoW
